id,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name
AVwc_6KEIN2L1WUfrKAH,22.5,15.5,USD,"2016,31+Mar",NA,Bianca Pizza
AVwc_6KEIN2L1WUfrKAH,18.95,18.95,USD,"2016,31+Mar",NA,Cheese Pizza
AVwc_6qRByjofQCxkcxw,12,12,USD,"2015,23+Oct",NA,"Pizza, Margherita"
AVwc_6qRByjofQCxkcxw,13,13,USD,"2015,23+Oct",NA,"Pizza, Mushroom"
AVwc_6qRByjofQCxkcxw,13,13,USD,"2015,23+Oct","Olives, onions, capers, tomatoes","Pizza, Puttenesca"
AVwc_6qRByjofQCxkcxw,15,15,USD,"2015,23+Oct",NA,"Pizza, Salami Piccante"
AVwc_6qRByjofQCxkcxw,15,15,USD,"2015,23+Oct",NA,"Pizza, White Truffle Meat Sauce"
AVwc_7d_IN2L1WUfrKNN,10.99,7.99,USD,"2016,14+Jun",Choose a pizza size.,Cheese Pizza
AVwc_7d_IN2L1WUfrKNN,11.99,7.99,USD,"2016,14+Jun","Canadian bacon, pineapple.",Hawaiian Pizza
AVwc_7d_IN2L1WUfrKNN,16.99,11.99,USD,"2016,14+Jun",NA,Meat Lover Pizza
AVwc_7d_IN2L1WUfrKNN,5.99,5.99,USD,"2016,14+Jun",NA,Pizza Sub
AVwc_7d_IN2L1WUfrKNN,5.99,5.99,USD,"2016,14+Jun",NA,Super Pizza Sub
AVwc_7d_IN2L1WUfrKNN,16.99,10.99,USD,"2016,14+Jun",NA,Veggie Pizza
AVwc_8WAByjofQCxkdDA,9.95,9.95,USD,"2016,18+Jun",Choose any of your own toppings to make it your own,Create Your Own Pizza
AVwc_abAIN2L1WUfrEps,8.95,8.95,USD,"2016,01+Jul",NA,Cheese Pizza
AVwc_abAIN2L1WUfrEps,10.95,10.95,USD,"2016,01+Jul",NA,Pepperoni Pizza
AVwc_dHKkufWRAb51Kei,NA,NA,NA,"2016,31+Mar",NA,House Made Pizza
AVwc_dHKkufWRAb51Kei,19.95,15.71,USD,"2016,31+Mar",Seven layer bean dip,Mexican Pizza Dip
AVwc_dHKkufWRAb51Kei,NA,NA,NA,"2016,31+Mar",1 each (324.00 g),Pepperoni Pizza
AVwc_dHKkufWRAb51Kei,NA,NA,NA,"2016,31+Mar",1 each (149.18 g),Pizza Bagel
AVwc_gjWByjofQCxkYOz,NA,NA,NA,"2016,04+Jun",NA,Pizza Con Uovo Fritto
AVwc_h3pkufWRAb51LOO,10.99,10.99,USD,"2016,12+Jan",NA,Pizza Margherita
AVwc_h3pkufWRAb51LOO,10.99,10.99,USD,"2016,24+Apr",NA,Pizza Margherita
AVwc_h3pkufWRAb51LOO,NA,NA,NA,"2016,12+Jan",NA,Pizza Schiacchiata Alla Toscana
AVwc_h3pkufWRAb51LOO,NA,NA,NA,"2016,24+Apr",NA,Pizza Schiacchiata Alla Toscana
AVwc_jdF_7pvs4fz1IZm,NA,NA,USD,"2017,15+Jul",with pepperoni,Pizza Bagel
AVwc_jdF_7pvs4fz1IZm,NA,NA,USD,"2017,15+Jul",with mushroom,Pizza Bagel
AVwc_jdF_7pvs4fz1IZm,NA,NA,USD,"2017,15+Jul",with pepperoni & mushroom,Pizza Bagel
AVwc_jdF_7pvs4fz1IZm,2.59,2.59,USD,"2015,23+Oct",NA,Pizza Bagel (plain)
AVwc_jdF_7pvs4fz1IZm,3.29,3.29,USD,"2015,23+Oct",NA,Pizza Bagel With Mushroom
AVwc_jdF_7pvs4fz1IZm,3.29,3.29,USD,"2015,23+Oct",NA,Pizza Bagel With Pepperoni
AVwc_jdF_7pvs4fz1IZm,3.59,3.59,USD,"2015,23+Oct",NA,Pizza Bagel With Pepperoni and Mushroom
AVwc_JnXIN2L1WUfrB0m,NA,NA,NA,"2016,23+Apr",NA,Pizza Con Formaggio
AVwc_KyeIN2L1WUfrB_N,8.99,8.99,USD,"2016,30+Mar","BBQ Sauce, Mozzarella Cheese, diced Chicken Breast, Onions",Bbq Chicken Pizza
AVwc_KyeIN2L1WUfrB_N,8.99,8.99,USD,"2016,30+Mar",NA,Breakfast Pizza
AVwc_KyeIN2L1WUfrB_N,8.99,8.99,USD,"2016,30+Mar",NA,Cadillac Pizza
AVwc_KyeIN2L1WUfrB_N,8.99,8.99,USD,"2016,30+Mar",NA,Hawaiin Pizza
AVwc_KyeIN2L1WUfrB_N,8.99,8.99,USD,"2016,30+Mar",NA,Pesto Chicken Pizza
AVwc_KyeIN2L1WUfrB_N,4.59,4.59,USD,"2016,30+Mar",NA,Pizza Bread
AVwc_KyeIN2L1WUfrB_N,8.99,8.99,USD,"2016,30+Mar",NA,Southwest Pizza
AVwc_KyeIN2L1WUfrB_N,8.99,8.99,USD,"2016,30+Mar",NA,Thai Chicken Pizza
AVwc_KyeIN2L1WUfrB_N,8.99,8.99,USD,"2016,30+Mar",NA,Vegetarian Pizza
AVwc_odFIN2L1WUfrHAb,NA,NA,NA,"2016,25+Mar",NA,Bbq Pizza
AVwc_odFIN2L1WUfrHAb,NA,NA,NA,"2016,25+Mar",NA,Create Your Own Pizza
AVwc_oTMIN2L1WUfrG-p,4.99,4.99,USD,"2016,05+Apr","Pepperoni, marinara, garlic, seasoning and parmesan cheese",Pizza
AVwc_VAb_7pvs4fz1F-Z,12,12,USD,"2016,29+Mar",NA,Tuna Pizza
AVwc_VAb_7pvs4fz1F-Z,12,12,USD,"2016,22+Aug",NA,Tuna Pizza
AVwc_XoZ_7pvs4fz1Gdd,2.99,2.99,USD,"2016,31+May",NA,Small Pepperoni or Cheese Pizza
AVwc05XuByjofQCxinyc,NA,NA,NA,"2016,01+Apr",NA,Bbq Chicken Pizza
AVwc05XuByjofQCxinyc,NA,NA,NA,"2016,01+Apr",NA,Cheese Pizza
AVwc05XuByjofQCxinyc,NA,NA,NA,"2016,01+Apr",NA,Deluxe Pizza
AVwc05XuByjofQCxinyc,NA,NA,NA,"2016,01+Apr",NA,Meat Pizza
AVwc05XuByjofQCxinyc,NA,NA,NA,"2016,01+Apr",NA,Vegetable Pizza
AVwc0a6lkufWRAb5zWvc,NA,NA,NA,"2016,03+Mar",NA,Cheesy Bread Pizza (full)
AVwc0Be1kufWRAb5zSVB,8,8,USD,"2016,07+Jun","Our original round pizza topped with pepperoni, sausage and bacon.",3 Meat Treat Pizza
AVwc0Be1kufWRAb5zSVB,7,7,USD,"2016,07+Jun",NA,Deep Dish Pizza
