studyName	Sample Number	Species	Region	Island	Stage	Individual ID	Clutch Completion	Date Egg	Culmen Length (mm)	Culmen Depth (mm)	Flipper Length (mm)	Body Mass (g)	Sex
PAL0708	1	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N1A1	Yes	11/11/2007	39.1	18.7	181	3750	MALE
PAL0708	2	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N1A2	Yes	11/11/2007	39.5	17.4	186	3800	FEMALE
PAL0708	3	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N2A1	Yes	16/11/2007	40.3	18	195	3250	FEMALE
PAL0708	4	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N2A2	Yes	16/11/2007	NA	NA	NA	NA	NA
PAL0708	5	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N3A1	Yes	16/11/2007	36.7	19.3	193	3450	FEMALE
PAL0708	6	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N3A2	Yes	16/11/2007	39.3	20.6	190	3650	MALE
PAL0708	7	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N4A1	No	15/11/2007	38.9	17.8	181	3625	FEMALE
PAL0708	8	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N4A2	No	15/11/2007	39.2	19.6	195	4675	MALE
PAL0708	9	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N5A1	Yes	09/11/2007	34.1	18.1	193	3475	NA
PAL0708	10	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N5A2	Yes	09/11/2007	42	20.2	190	4250	NA
PAL0708	11	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N6A1	Yes	09/11/2007	37.8	17.1	186	3300	NA
PAL0708	12	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N6A2	Yes	09/11/2007	37.8	17.3	180	3700	NA
PAL0708	13	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N7A1	Yes	15/11/2007	41.1	17.6	182	3200	FEMALE
PAL0708	14	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N7A2	Yes	15/11/2007	38.6	21.2	191	3800	MALE
PAL0708	15	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N8A1	Yes	16/11/2007	34.6	21.1	198	4400	MALE
PAL0708	16	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N8A2	Yes	16/11/2007	36.6	17.8	185	3700	FEMALE
PAL0708	17	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N9A1	Yes	12/11/2007	38.7	19	195	3450	FEMALE
PAL0708	18	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N9A2	Yes	12/11/2007	42.5	20.7	197	4500	MALE
PAL0708	19	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N10A1	Yes	16/11/2007	34.4	18.4	184	3325	FEMALE
PAL0708	20	Adelie Penguin (Pygoscelis adeliae)	Anvers	Torgersen	"Adult, 1 Egg Stage"	N10A2	Yes	16/11/2007	46	21.5	194	4200	MALE
PAL0708	21	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N11A1	Yes	12/11/2007	37.8	18.3	174	3400	FEMALE
PAL0708	22	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N11A2	Yes	12/11/2007	37.7	18.7	180	3600	MALE
PAL0708	23	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N12A1	Yes	12/11/2007	35.9	19.2	189	3800	FEMALE
PAL0708	24	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N12A2	Yes	12/11/2007	38.2	18.1	185	3950	MALE
PAL0708	25	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N13A1	Yes	10/11/2007	38.8	17.2	180	3800	MALE
PAL0708	26	Adelie Penguin (Pygoscelis adeliae)	Anvers	Biscoe	"Adult, 1 Egg Stage"	N13A2	Yes	10/11/2007	35.3	18.9	187	3800	FEMALE
